"","text"
"1","Welcome To r/Cryptocurrencies' Weekly General Discussion.

Keep the discussion going in [our discord.](https://discord.gg/qMdsGY36Hy)"
"2",""
"3","Mental Health Check:

Weve all heard the big win stories, how everyone bought very low and sold high etc. But I feel majority of this sub is losing and being quiet about it.

Use this thread to Vent:

Im a student and Im down 6k and Im lost for words and no idea if itll recover

No bashing please"
"4","Title  says it. I am a US citizen living in the UK, looking to get into  algorithmic trading. Low trading fees are necessary, since I am not  going to make a large profit per trade. A well-documented API is also  necessary for obvious reasons.

The  twist comes in with the UK versus US part. Since I am residing in the  UK, I am able to make up to £12k per year tax free. My understanding is  that if I use an exchange based in the US, I would be looking at \~40%  capital gains tax since I am not planning on long-term positions.

So,  are there any UK exchanges with fees comparable to Binance (for  example) at 0.1% buy/sell rate that allow US citizens to trade?"
"5","I've been using Block Fi for the better part of a year now as a way to accrue some passive bitcoin through interest. However, I've noticed that the amount of interest will change throughout the month. Most noticeably this month. I had roughly $55 in ""paid interest"" but when I logged in today to see May's payout I was irritated to see that it now says $44 has been paid. Does BlockFi adjust the paid interest based on BTC current value or are they just straight up taking money back? The longer I've been with BlockFi the more I feel they are a sketchy company, but I'm not selling my BTC at such an extreme loss so I guess I'm stuck with them til condition improve. Thanks for any info ya'll might have!"
"6","We all know how unsafe credit card payments can be sometimes if you entrust the wrong party with it.

There have been countless incidents where people who didnt know any better had their funds drained by a malicious website after entrusting it with their card.

Crypto payments on the other hand can never face this problem. You account can never be compromised the way a bank account can.

Also, these crypto payments services are becoming faster and cheaper by the day to the point where some crypto payment services like e-money offer lightning fast transactions are near zero fees.

This is the kind of convenience that will drive people to slowly but surely end up adopting crypto payments in order to secure and more private and assure themselves a method of payment without ever having to worry about the account being undermined."
"7","Do Kwon's Terraform Labs reportedly working on a new decentralized stablecoin built on Terra 2.0. Investors lost billions of dollars when Terraforms algorithmic stablecoin, UST, broke its 1:1 peg to the US dollar. 

Will you buy the new stablecoin when its launched?"
"8","Why is Bitcoin the number one? I always read something like dont invest in altcoins/shitcoins just bitcoin but what makes it so safe? I mean if its the supply or decentralization there is litecoin or even better monero who is anonym. So what is the point of bitcoin, just the fact that its the first crypto?

The Luna crash let me thought about if the same can happen to bitcoin (not the same way but no more trust and everybody selling) and i dont find the answer."
"9","Bitcoin BTC is trading above $31,000 for the first time in 2 weeks. Bitcoin, the largest crypto by market cap, has rallied 6.6% so far this week after reaching a low of $25,401 last week. 

Do you think Bitcoin has bottomed or is the bear market not over yet?"
"10"," Read full article: [https://www.yahoo.com/now/russias-central-bank-says-open-193952396.html](https://www.yahoo.com/now/russias-central-bank-says-open-193952396.html)

**According to the article**, **Russia's central bank official says they don't object to the use of crypto in international transactions. The US &amp; its allies imposed economic sanctions on Russia after its Ukraine invasion.** 

**Do you think the use of crypto by Russia might lead to outright bans on crypto by the US?**"
